"""","平成20年度(2008)","平成21年度(2009)","平成22年度(2010)","平成23年度(2011)","平成24年度(2012)"
"１.産        業(百万円)","3002641.0","2856411.0","3038361.0","3068905.0","3081878.0"
"","","","","",""
"        (1) 農林水産業(百万円)","80143.0","63000.0","76629.0","75513.0","72988.0"
"            ① 農        業(百万円)","68847.0","53462.0","67205.0","65993.0","63689.0"
"            ② 林        業(百万円)","2524.0","2256.0","2244.0","2270.0","1892.0"
"            ③ 水   産   業(百万円)","8772.0","7282.0","7180.0","7250.0","7407.0"
"","","","","",""
"        (2) 鉱      業(百万円)","1713.0","1257.0","1384.0","1235.0","1548.0"
"","","","","",""
"        (3) 製  造  業(百万円)","977865.0","811667.0","948601.0","993104.0","943890.0"
"            ① 食   料   品(百万円)","59698.0","50251.0","60619.0","70741.0","64436.0"
"            ② 繊        維(百万円)","18795.0","19815.0","16358.0","19544.0","20291.0"
"            ③ パルプ ・ 紙(百万円)","5339.0","4643.0","4964.0","4496.0","5923.0"
"            ④ 化        学(百万円)","102198.0","104033.0","123356.0","139355.0","135036.0"
"            ⑤ 石油･石炭製品(百万円)","157800.0","87884.0","222081.0","222919.0","196027.0"
"            ⑥ 窯業･土石製品(百万円)","9125.0","8219.0","8766.0","24024.0","21810.0"
"            ⑦ 鉄       鋼(百万円)","290675.0","211089.0","171410.0","195410.0","201773.0"
"            ⑧ 非 鉄 金 属(百万円)","10040.0","6923.0","2069.0","3819.0","7092.0"
"            ⑨ 金 属 製 品(百万円)","39111.0","49089.0","39747.0","36250.0","37949.0"
"            ⑩ 一 般 機 械(百万円)","169540.0","161878.0","205507.0","160557.0","160218.0"
"            ⑪ 電 気 機 械(百万円)","13366.0","21578.0","14306.0","18604.0","11697.0"
"            ⑫ 輸 送 機 械(百万円)","9974.0","7585.0","2047.0","9974.0","6912.0"
"            ⑬ 精 密 機 械(百万円)","17338.0","4025.0","5506.0","6837.0","6358.0"
"            ⑭ その他の製造業(百万円)","74866.0","74655.0","71865.0","80574.0","68368.0"
"","","","","",""
"        (4) 建  設  業(百万円)","159586.0","172281.0","182402.0","210004.0","247814.0"
"","","","","",""
"        (5) 電気･ｶﾞｽ･水道業(百万円)","81636.0","92289.0","95231.0","69699.0","70038.0"
"            ① 電　気  業(百万円)","43251.0","53633.0","57366.0","34512.0","34616.0"
"            ② ガス・水道・熱供給業(百万円)","38386.0","38656.0","37865.0","35187.0","35422.0"
"","","","","",""
"        (6) 卸売･小売業(百万円)","312173.0","336436.0","334212.0","360523.0","351351.0"
"            ① 卸  売  業(百万円)","107633.0","122061.0","126505.0","146138.0","144511.0"
"            ② 小  売  業(百万円)","204540.0","214375.0","207707.0","214385.0","206840.0"
"","","","","",""
"        (7) 金融･保険業(百万円)","146081.0","144300.0","143930.0","140066.0","138709.0"
"","","","","",""
"        (8) 不 動 産 業(百万円)","410309.5004899854","422735.71895212884","424622.24343154643","428550.70263445016","437476.834307847"
"            ① 住宅賃貸業(百万円)","384942.5004899854","393351.71895212884","395385.24343154643","398776.70263445016","403225.834307847"
"            ② その他の不動産業(百万円)","25367.0","29384.0","29237.0","29774.0","34251.0"
"","","","","",""
"        (9) 運輸業(百万円)","142227.0","130804.0","140020.0","120813.0","137485.0"
"","","","","",""
"        (10) 情報通信業(百万円)","81190.0","86868.0","85599.0","86853.0","86030.0"
"            ① 通  信  業(百万円)","58570.0","61147.0","60553.0","59630.0","59077.0"
"            ② 放  送  業(百万円)","4602.0","4634.0","5364.0","4970.0","4456.0"
"            ③ 情報ｻｰﾋﾞｽ、映像･文字(百万円)","18018.0","21087.0","19682.0","22253.0","22496.0"
"               情報制作業(百万円)","","","","",""
"        (11) サ－ビス業(百万円)","609717.1707727651","594772.8532144454","605730.7218740815","582544.3742113065","594548.9305741349"
"            ① 公共サービス業(百万円)","239407.17077276512","248654.8532144454","260002.58143878018","261817.10322789388","270739.33398892253"
"            ② 対事業所サービス業(百万円)","164253.0","144463.0","147531.0","126400.0","125252.0"
"            ③ 対個人サービス業(百万円)","206057.0","201655.0","198197.1404353013","194327.2709834126","198557.59658521233"
"","","","","",""
"２.政府ｻ-ﾋﾞｽ生産者(百万円)","403521.0","389376.0","383404.0","383757.0","378353.0"
"        (1) 電気･ｶﾞｽ･水道業(百万円)","15297.0","14894.0","14312.0","14139.0","14207.0"
"        (2) サ－ビス業(百万円)","107244.0","103068.0","102306.0","100080.0","96836.0"
"        (3) 公      務(百万円)","280980.0","271414.0","266786.0","269538.0","267310.0"
"","","","","",""
"３.対家計民間非営利ｻ-ﾋﾞｽ生産者(百万円)","79246.0","74204.0","80048.0","88217.0","91569.0"
"        (1) サ－ビス業(百万円)","79246.0","74204.0","80048.0","88217.0","91569.0"
"","","","","",""
"","","","","",""
"４．小   計（１＋２＋３）(百万円)","3485408.0","3319991.0","3501813.0","3540879.0","3551800.0"
"","","","","",""
"","","","","",""
"５．輸入品に課される税・関税(百万円)","41718.0","31032.0","35448.0","41907.0","42970.0"
"６．［控除］総資本形成に係る消費税(百万円)","19654.0","14551.0","14165.0","18331.0","22075.0"
"","","","","",""
"","","","","",""
"７．県内総生産（４＋５－６）(百万円)","3507472.0","3336472.0","3523096.0","3564455.0","3572695.0"
