"""","平成20年度(2008)","平成21年度(2009)","平成22年度(2010)","平成23年度(2011)","平成24年度(2012)"
"１.産        業(百万円)","3068964.0","2901138.0","3099139.0","3177469.0","3234353.0"
"","","","","",""
"        (1) 農林水産業(百万円)","90845.0","68091.0","80702.0","81469.0","74993.0"
"            ① 農        業(百万円)","78057.0","58961.0","71816.0","72977.0","65544.0"
"            ② 林        業(百万円)","2428.0","2106.0","2106.0","2301.0","1913.0"
"            ③ 水   産   業(百万円)","10521.0","7048.0","7060.0","6503.0","7491.0"
"","","","","",""
"        (2) 鉱      業(百万円)","1493.0","805.0","888.0","785.0","1009.0"
"","","","","",""
"        (3) 製  造  業(百万円)","973843.0","803986.0","936868.0","1000531.0","1004293.0"
"            ① 食   料   品(百万円)","59945.0","45886.0","56663.0","65934.0","60867.0"
"            ② 繊        維(百万円)","19331.0","19351.0","16910.0","19233.0","20428.0"
"            ③ パルプ ・ 紙(百万円)","5477.0","3706.0","4327.0","4145.0","5227.0"
"            ④ 化        学(百万円)","105869.0","103049.0","125306.0","140402.0","138884.0"
"            ⑤ 石油･石炭製品(百万円)","190333.0","80802.0","182386.0","195087.0","208937.0"
"            ⑥ 窯業･土石製品(百万円)","10160.0","7173.0","8296.0","24000.0","21993.0"
"            ⑦ 鉄       鋼(百万円)","238526.0","202653.0","164498.0","182644.0","199824.0"
"            ⑧ 非 鉄 金 属(百万円)","8696.0","5502.0","2094.0","4381.0","7664.0"
"            ⑨ 金 属 製 品(百万円)","39139.0","47967.0","40226.0","37373.0","36872.0"
"            ⑩ 一 般 機 械(百万円)","175835.0","166930.0","218245.0","174277.0","169671.0"
"            ⑪ 電 気 機 械(百万円)","21623.0","37313.0","31106.0","47992.0","32514.0"
"            ⑫ 輸 送 機 械(百万円)","10173.0","7627.0","2125.0","10598.0","7251.0"
"            ⑬ 精 密 機 械(百万円)","19312.0","2926.0","4137.0","5258.0","4842.0"
"            ⑭ その他の製造業(百万円)","76419.0","72374.0","71807.0","83016.0","70295.0"
"","","","","",""
"        (4) 建  設  業(百万円)","152384.0","168432.0","177985.0","208258.0","242850.0"
"","","","","",""
"        (5) 電気･ｶﾞｽ･水道業(百万円)","108809.0","113580.0","117149.0","99424.0","80688.0"
"            ① 電　気  業(百万円)","72342.0","79997.0","86557.0","68781.0","43201.0"
"            ② ガス・水道・熱供給業(百万円)","36774.0","35819.0","34431.0","32042.0","31769.0"
"","","","","",""
"        (6) 卸売･小売業(百万円)","303495.0","337030.0","336911.0","361924.0","356184.0"
"            ① 卸  売  業(百万円)","99450.0","118541.0","123149.0","139367.0","139426.0"
"            ② 小  売  業(百万円)","204295.0","218110.0","213162.0","221529.0","215557.0"
"","","","","",""
"        (7) 金融･保険業(百万円)","161610.0","166569.0","169952.0","168790.0","174446.0"
"","","","","",""
"        (8) 不 動 産 業(百万円)","417330.0","430519.0","435736.0","444745.0","457265.0"
"            ① 住宅賃貸業(百万円)","393353.0","402814.0","406921.0","413726.0","420562.0"
"            ② その他の不動産業(百万円)","23964.0","27467.0","28507.0","30619.0","36250.0"
"","","","","",""
"        (9) 運輸業(百万円)","153497.0","127206.0","139625.0","122840.0","138022.0"
"","","","","",""
"        (10) 情報通信業(百万円)","90483.0","97903.0","98983.0","102366.0","102164.0"
"            ① 通  信  業(百万円)","67709.0","70996.0","73011.0","73597.0","73438.0"
"            ② 放  送  業(百万円)","4709.0","5204.0","5926.0","5358.0","4817.0"
"            ③ 情報ｻｰﾋﾞｽ、映像･文字(百万円)","18113.0","21462.0","20016.0","23020.0","23495.0"
"               情報制作業(百万円)","","","","",""
"        (11) サ－ビス業(百万円)","615888.0","588204.0","602709.0","579276.0","588532.0"
"            ① 公共サービス業(百万円)","239831.0","239317.0","246809.0","248322.0","254195.0"
"            ② 対事業所サービス業(百万円)","168733.0","149373.0","155992.0","132773.0","132789.0"
"            ③ 対個人サービス業(百万円)","207617.0","199509.0","199985.0","196771.0","199911.0"
"","","","","",""
"２.政府ｻ-ﾋﾞｽ生産者(百万円)","404749.0","402074.0","400325.0","401169.0","403080.0"
"        (1) 電気･ｶﾞｽ･水道業(百万円)","14614.0","14648.0","14174.0","13928.0","14126.0"
"        (2) サ－ビス業(百万円)","109726.0","108643.0","109003.0","106890.0","105457.0"
"        (3) 公      務(百万円)","280426.0","278784.0","277189.0","280347.0","283435.0"
"","","","","",""
"３.対家計民間非営利ｻ-ﾋﾞｽ生産者(百万円)","80284.0","77935.0","85082.0","94745.0","99622.0"
"        (1) サ－ビス業(百万円)","80284.0","77935.0","85082.0","94745.0","99622.0"
"","","","","",""
"","","","","",""
"４．小   計（１＋２＋３）(百万円)","3554233.0","3381707.0","3585486.0","3674252.0","3737870.0"
"","","","","",""
"","","","","",""
"５．輸入品に課される税・関税(百万円)","34076.0","30642.0","33690.0","36716.0","36929.0"
"６．［控除］総資本形成に係る消費税(百万円)","18448.0","14313.0","14491.0","18665.0","22941.0"
"","","","","",""
"","","","","",""
"７．県内総生産（４＋５－６）(百万円)","3570216.0","3398213.0","3604937.0","3692731.0","3752151.0"
"","","","","",""
"","","","","",""
"８．開差（７－１－２－３－５＋６）(百万円)","591.0","737.0","1192.0","1297.0","1108.0"
